N-грамма,Предложение,Контекст до,Контекст после
отметить,"Следует отметить, что в последнее время законодатель стал уделять повышенное внимание электронным доказательствам, в том числе особенностям раПолитехнический молодежный журнал.","Экспертные исследования, проводимые судебным компьютернотехническим экспертом, обеспечивают получение результатов, имеющих наибольшее доказательственное значение при расследовании преступлений [9].",2017.
световой,"Светодиод не является обязательным и не влияет на внутреннюю работу USB-устройства, но позволяет определить его исправность, поскольку при подключении к компьютеру загорается световой индикатор, а также он мигает при обращении к диску (в процессе записи или чтения) [7].",При выходе из строя компьютер определяет USB-накопитель как «неизвестное устройство» или просто его «не видит».,"Некоторыми производителями USB-накопителей реализуется механическая защита от изменений в виде переключателя (защита от записи), разрешающего или запрещающего запись."
экспертиза,"Павлова Анна Александровна — студентка кафедры «Юриспруденция, интеллектуальная собственность и судебная экспертиза», МГТУ им.",URL: https://old.dialognauka.ru/products/encase_forensic/ (дата обращения 22.08.17).,Н.Э.
доступ,"При этом микросхема выпаивается из накопителя и считывается на специальном считывающем устройстве — Flash reader, входящем в состав комплекса, что позволяет получить доступ к данным в случаях, когда контроллер накопителя неисправен.",Данный комплекс использует собственную технологию прямого доступа к микросхемам флэш-памяти.,Эта технология дает возможность увеличить вероятность успешного восстановления данных даже в случае физического повреждения накопителей [12].
возможность хранения,"Актуальность исследования USB-накопителей обусловлена их широким использованием в настоящее время, поскольку это наиболее удобные и практически незаменимые переносные устройства для хранения данных, которые способны сочетать в себе такие свойства, как компактность и возможность хранения большого объема информации.","Баумана, 2017 Введение.","В связи с этим данные устройства нередко становятся объектами исследования при проведении судебной компьютерно-технической экспертизы, поскольку могут содержать криминалистически важную информацию."
возможность хранения,"Результат исследования Обобщая все вышеизложенное, можно сделать вывод о том, что на сегодняшний день USB-накопители являются наиболее удобными и практически незаменимыми переносными устройствами для хранения и чтения/записи информации, которые способны сочетать в себе такие свойства, как компактность и возможность хранения большого объема данных, поэтому USB-накопитель часто становится объектом экспертного исследования в рамках проведения судебной компьютерной технической экспертизы.",19.,"Программное обеспечение эксперта постоянно совершенствуется: разработаны различные программные средства, которые позволяют решать все более сложные экспертные задачи."
параметр,"В разделе Control создаем раздел StorageDevicePolicies, в котором устанавливаем параметр WriteProtect (тип dword).",Для этого нажатием клавиши Пуск — regedit заходим в реестр — HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Control.,Изменяем значение параметра с 0 (режим записи) на 1 (режим чтения) (рис.
ассистент,"Скворцова, ассистент кафедры «Информационное управление 6», МГТУ им.",Научный руководитель — М.А.,Н.Э.
проанализировать,"Условия для решения поставленной задачи Выбрав условие (путем нажатия на него), получаем соответствующие ему данные, содержание которых, при необходимости, также можно проанализировать (рис.",18.,19).
произвести,Если потребуется необходимо произвести зачистку ножек.,"Прежде чем начать работу, эксперт должен выпаять микросхему памяти из основной конструкции (при температуре 320–350 °C), причем так, чтобы «ножки» микросхемы не были повреждены, поскольку возрастает вероятность того, что комплекс восстановит только часть данных или вообще не сможет считать микросхему памяти.",Рис.
произвести,"14), произвести считывание хэш-значений и сигнатуры (рис.","13), выбрать нужное устройство (рис.",15).
система,"Система выдаст решение, которое может быть загружено, и, считав его, программа приступит к восстановлению данных.",9).,Рис.
носитель,"Во-вторых, подключая носитель информации к программе, во избежание потери определенных данных или их изменения необходимо создать образ.","Во-первых, подключить USB-накопитель к блокиратору, которым, как правило, обладает каждый компьютерно-технический эксперт.","Для этого нужно выбрать Create image-Physical drive: E01–Compression (0–9)–Finish– Start, с которым эксперт может производить любые манипуляции."
введение,"Баумана, 2017 Введение.",Н.Э.,"Актуальность исследования USB-накопителей обусловлена их широким использованием в настоящее время, поскольку это наиболее удобные и практически незаменимые переносные устройства для хранения данных, которые способны сочетать в себе такие свойства, как компактность и возможность хранения большого объема информации."
разъем,"Внутреннее строение USB-накопителя: 1 — разъем USB; 2 — микроконтроллер; 3 — контрольные точки; 4 — чип (микросхема) флэшпамяти; 5 — кварцевый резонатор; 6 — светодиод; 7 — переключатель (защита от записи); 8 — дополнительное место для микросхемы памяти Следует отметить, что в современных USB-накопителях многие элементы имеют значительно меньший размер и впаяны непосредственно в саму конструкцию USB-устройства, которую полностью разобрать без повреждения работоспособности устройства не представляется возможным (рис 2).",1.,"Такие элементы, как светодиод, защита от записи, дополнительное место для микросхемы памяти могут в USB-устройстве отсутствовать."
отсоединить,После успешного выполнения всех действий USB-накопитель можно отсоединить.,"Создав образ USB-накопителя, необходимо проверить устройство на вирусы.","Однако в распоряжении эксперта не всегда есть специализированные приспособления или программы, не позволяющие вносить изменения в данные на устройстве."
проверить,"Создав образ USB-накопителя, необходимо проверить устройство на вирусы.","Данный образ можно создать с помощью программы Forensic Toolkit(FTK), что позволит не допустить какого-либо редактирования информации непосредственно на самом носителе.",После успешного выполнения всех действий USB-накопитель можно отсоединить.
дата,URL: http://www.compbegin.ru/articles/view/_116 (дата обращения 22.11.2017).,Основные характеристики USB-флеш-накопителей: что такое флэш-накопитель.,[2] What is a flash drive?
дата,URL: https://www.lifewire.com/what-is-a-flash-drive-2625794 (дата обращения 10.09.2017).,[2] What is a flash drive?,[3] Принцип работы и устройство USB-флешки.
дата,URL: https://hobbyits.com/cifrovyetexnologii/princip-raboty-i-ustrojstvo-usb-fleshki.html (дата обращения 10.09.2017).,[3] Принцип работы и устройство USB-флешки.,[4] В чем отличия USB-флешек USB 3.0 от USB 2.0.
дата,URL: http://otnaspodarok.ru/v-chemotlichiya-fleshek-usb-3-0-ot-usb-2-0/ (дата обращения 10.09.2017).,[4] В чем отличия USB-флешек USB 3.0 от USB 2.0.,12 Политехнический молодежный журнал.
дата,URL: https://www.bytemag.ru/articles/detail.php?ID=8660 (дата обращения 11.09.2017).,[6] Спиряев О. Технологии флеш-памяти.,[7] USB-флешки: что это и зачем они нужны.
дата,URL: http://www.novintex.ru/read/actions/usb_flash (дата обращения 28.09.2017).,[7] USB-флешки: что это и зачем они нужны.,[8] Снятие защиты от записи с флешки.
дата,URL: http://bsodstop.ru/kak-snyat-zashchitu-otzapisi-s-fleshki (дата обращения 28.09.2017).,[8] Снятие защиты от записи с флешки.,[9] Усов А.И.
дата,URL: http://www.acelab.ru/dep.pc/pc3000.flash.php (дата обращения 17.08.17).,[12] РС-3000 flash.,[13] Encase Forensic.
дата,URL: https://old.dialognauka.ru/products/encase_forensic/ (дата обращения 22.08.17).,[13] Encase Forensic.,"Павлова Анна Александровна — студентка кафедры «Юриспруденция, интеллектуальная собственность и судебная экспертиза», МГТУ им."
строя компьютер,При выходе из строя компьютер определяет USB-накопитель как «неизвестное устройство» или просто его «не видит».,"Кварцевый резонатор используется для построения опорной частоты, необходимой для функционирования логики контроллера и флэш-памяти.","Светодиод не является обязательным и не влияет на внутреннюю работу USB-устройства, но позволяет определить его исправность, поскольку при подключении к компьютеру загорается световой индикатор, а также он мигает при обращении к диску (в процессе записи или чтения) [7]."
использовать иное устройство,"Подключив устройство (для проверки первоначально рекомендуется использовать иное устройство, но не объект исследования), можем убедиться, что удалить или изменить данные не представляется возможным.",12).,Рис.
осторожность,Для корректного восстановления данных с таких устройств эксперт должен знать внутреннюю структуру USB-накопителя и соблюдать предельную осторожность при разборе устройства.,"Например, с помощью комплекса PC-3000 flash можно восстановить информацию даже с поврежденных USB-устройств (при условии, что микросхема памяти не была деформирована), а при использовании комплекса Encase Forensic есть возможность быстро найти необходимую информацию.",Литература [1] Чугунков В. Выбираем флешку.
внутреннее строение,"Внутреннее строение USB-накопителя: 1 — разъем USB; 2 — микроконтроллер; 3 — контрольные точки; 4 — чип (микросхема) флэшпамяти; 5 — кварцевый резонатор; 6 — светодиод; 7 — переключатель (защита от записи); 8 — дополнительное место для микросхемы памяти Следует отметить, что в современных USB-накопителях многие элементы имеют значительно меньший размер и впаяны непосредственно в саму конструкцию USB-устройства, которую полностью разобрать без повреждения работоспособности устройства не представляется возможным (рис 2).",1.,"Такие элементы, как светодиод, защита от записи, дополнительное место для микросхемы памяти могут в USB-устройстве отсутствовать."
хранение информации,"Микросхема памяти — это энергонезависимая память, которая отвечает за хранение информации и может электрически стираться и перепрограммироваться [6].",Одной из причин этого служит неправильное извлечение микроконтроллера из считывающего устройства.,"Существует несколько технологий построения структуры USBпамяти, наиболее распространенными из которых являются NOR (NOT OR) и NAND (NOT AND)."
множество,"Кроме того, существует множество производителей данных устройств, выпускающих USB-накопители с различным объемом памяти (до 1 Тбайт) и различной пропускной способностью (USB 2.0, 3.0, 3.1 и др.).","Это — набор микросхем, в чипах которых способна храниться цифровая информация, поэтому нет необходимости использовать батарейки или аккумуляторы при работе с устройством.",Структура USB-накопителя.
рычаг,Для снятия механической блокировки необходимо передвинуть рычаг в противоположное направление [8].,Обычно он располагается на боковой части носителя и отмечается значком замка.,"Экспертные исследования, проводимые судебным компьютернотехническим экспертом, обеспечивают получение результатов, имеющих наибольшее доказательственное значение при расследовании преступлений [9]."
электрически стираться,"Микросхема памяти — это энергонезависимая память, которая отвечает за хранение информации и может электрически стираться и перепрограммироваться [6].",Одной из причин этого служит неправильное извлечение микроконтроллера из считывающего устройства.,"Существует несколько технологий построения структуры USBпамяти, наиболее распространенными из которых являются NOR (NOT OR) и NAND (NOT AND)."
размер,"Внутреннее строение USB-накопителя: 1 — разъем USB; 2 — микроконтроллер; 3 — контрольные точки; 4 — чип (микросхема) флэшпамяти; 5 — кварцевый резонатор; 6 — светодиод; 7 — переключатель (защита от записи); 8 — дополнительное место для микросхемы памяти Следует отметить, что в современных USB-накопителях многие элементы имеют значительно меньший размер и впаяны непосредственно в саму конструкцию USB-устройства, которую полностью разобрать без повреждения работоспособности устройства не представляется возможным (рис 2).",1.,"Такие элементы, как светодиод, защита от записи, дополнительное место для микросхемы памяти могут в USB-устройстве отсутствовать."
передвинуть рычаг,Для снятия механической блокировки необходимо передвинуть рычаг в противоположное направление [8].,Обычно он располагается на боковой части носителя и отмечается значком замка.,"Экспертные исследования, проводимые судебным компьютернотехническим экспертом, обеспечивают получение результатов, имеющих наибольшее доказательственное значение при расследовании преступлений [9]."
совпадать,"Считывание хэш-значений и сигнатур Подчеркнем, что для продолжения работы с устройством число просканированных файлов и полученные хэш-значения должны совпадать, в противном случае понадобится устранить разночтение прежде чем Рис.",15.,16.
задание,Задание условия для решения поставленной задачи Рис.,17.,18.
комплекс encase,"Баумана, Москва, Российская Федерация Аннотация Ключевые слова Рассмотрены USB-накопители, в частности, внут- USB-накопитель, судебная комренние компоненты USB-устройства, современные пьютерно-техническая эксперкомплексы, используемые в рамках производства тиза, программные средства, судебной компьютерно-технической экспертизы при поврежденные устройства, восработе с USB-накопителями информации, а именно: становление данных, поиск данаппаратно-программный комплекс PC-3000 flash, ных позволяющий восстановить данные с поврежденных USB-устройств, и программный комплекс Encase Forensic, который применяется для поиска, анализа Поступила в редакцию 06.10.2017 и восстановления данных с USB-устройств.",Н.Э.,© МГТУ им.
комплекс encase,При исследовании USB-накопителей помимо аппаратно-программного комплекса PC-3000 flash в экспертной практике широко применяется программный комплекс Encase Forensic Assistant.,"Поиск решения в «системе решений» Возможность виртуализации контроллера играет важную роль в работе эксперта, поскольку нередко не представляется возможным восстановить данные с USB-устройства иными способами вследствие нерабочего состояния контроллера.",Политехнический молодежный журнал.
комплекс encase,Павлова Программный Комплекс Encase Forensic Assistant.,"№ 12 7
А.А.","Этот программный комплекс как незаменимое программное средство в экспертной деятельности работает на различных платформах, таких, как Windows, Linux, AIX, OS X, Solaris и др., а также позволяет найти на исследуемом объекте нужные файлы, нужную информацию."
тип,"В разделе Control создаем раздел StorageDevicePolicies, в котором устанавливаем параметр WriteProtect (тип dword).",Для этого нажатием клавиши Пуск — regedit заходим в реестр — HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Control.,Изменяем значение параметра с 0 (режим записи) на 1 (режим чтения) (рис.
выбор,Выбор опции «чтение микросхемы памяти» Рис.,6.,7.
выбор,"Выбор опции «поиск в «системе решений» Для получения решения необходимо виртуализировать контроллер устройства, заполнив необходимые поля данных (рис.",8.,9).
выбор,Выбор устройства исследования Рис.,14.,15.
сфера использования,"В первую очередь это обусловлено тем, что сфера использования USB-памяти типа NOR применяется для хранения небольшого объема данных (до 256 Мбайт), что недопустимо при разработке USB-накопителей, в то время как USB-память типа NAND предназначена для хранения большого объема данных.",В USB-накопителях используется память типа NAND.,"Кварцевый резонатор используется для построения опорной частоты, необходимой для функционирования логики контроллера и флэш-памяти."
программа,Считывающее устройство Flash-reader комплекса со вставленной микросхемой памяти После осуществления указанных действий программа считывает микросхему.,5.,Сначала она будет иметь статус «неизвестной» микросхемы.
программа,"Система выдаст решение, которое может быть загружено, и, считав его, программа приступит к восстановлению данных.",9).,Рис.
программа,"Таким образом, путем совершения нескольких манипуляций программа Encase Forensic позволяет успешно решить поставленную перед экспертом задачу.",19).,Политехнический молодежный журнал.
получить доступ,"При этом микросхема выпаивается из накопителя и считывается на специальном считывающем устройстве — Flash reader, входящем в состав комплекса, что позволяет получить доступ к данным в случаях, когда контроллер накопителя неисправен.",Данный комплекс использует собственную технологию прямого доступа к микросхемам флэш-памяти.,Эта технология дает возможность увеличить вероятность успешного восстановления данных даже в случае физического повреждения накопителей [12].
вносить изменения,Недопустимо вносить изменения в первоначальное состояние информационной составляющей объекта исследования.,"Для этого нужно выбрать Create image-Physical drive: E01–Compression (0–9)–Finish– Start, с которым эксперт может производить любые манипуляции.",Поэтому эксперт работает непосредственно с созданным образом.
вносить изменения,"Однако в распоряжении эксперта не всегда есть специализированные приспособления или программы, не позволяющие вносить изменения в данные на устройстве.",После успешного выполнения всех действий USB-накопитель можно отсоединить.,"Поэтому эксперту важно знать, как «запретить» компьютеру вносить какие-либо изменения в подключенные к нему устройства."
защита,"Внутреннее строение USB-накопителя: 1 — разъем USB; 2 — микроконтроллер; 3 — контрольные точки; 4 — чип (микросхема) флэшпамяти; 5 — кварцевый резонатор; 6 — светодиод; 7 — переключатель (защита от записи); 8 — дополнительное место для микросхемы памяти Следует отметить, что в современных USB-накопителях многие элементы имеют значительно меньший размер и впаяны непосредственно в саму конструкцию USB-устройства, которую полностью разобрать без повреждения работоспособности устройства не представляется возможным (рис 2).",1.,"Такие элементы, как светодиод, защита от записи, дополнительное место для микросхемы памяти могут в USB-устройстве отсутствовать."
защита,"Такие элементы, как светодиод, защита от записи, дополнительное место для микросхемы памяти могут в USB-устройстве отсутствовать.","Внутреннее строение USB-накопителя: 1 — разъем USB; 2 — микроконтроллер; 3 — контрольные точки; 4 — чип (микросхема) флэшпамяти; 5 — кварцевый резонатор; 6 — светодиод; 7 — переключатель (защита от записи); 8 — дополнительное место для микросхемы памяти Следует отметить, что в современных USB-накопителях многие элементы имеют значительно меньший размер и впаяны непосредственно в саму конструкцию USB-устройства, которую полностью разобрать без повреждения работоспособности устройства не представляется возможным (рис 2).",Рис.
защита,"Некоторыми производителями USB-накопителей реализуется механическая защита от изменений в виде переключателя (защита от записи), разрешающего или запрещающего запись.","Светодиод не является обязательным и не влияет на внутреннюю работу USB-устройства, но позволяет определить его исправность, поскольку при подключении к компьютеру загорается световой индикатор, а также он мигает при обращении к диску (в процессе записи или чтения) [7].",Обычно он располагается на боковой части носителя и отмечается значком замка.
защита,USB-устройства: атака и защита.,Aхиллесова пята.,"Философские проблемы информационных технологий и киберпространства, 2015, № 1."
увеличить,Эта технология дает возможность увеличить вероятность успешного восстановления данных даже в случае физического повреждения накопителей [12].,"При этом микросхема выпаивается из накопителя и считывается на специальном считывающем устройстве — Flash reader, входящем в состав комплекса, что позволяет получить доступ к данным в случаях, когда контроллер накопителя неисправен.","Современные микросхемы памяти представляют собой достаточно сложные устройства, подверженные явлениям износа, что является основной причиной логического повреждения накопителя."
основной,"Современные микросхемы памяти представляют собой достаточно сложные устройства, подверженные явлениям износа, что является основной причиной логического повреждения накопителя.",Эта технология дает возможность увеличить вероятность успешного восстановления данных даже в случае физического повреждения накопителей [12].,Рассмотрим принцип работы комплекса PC-3000 flash.
основной,"Прежде чем начать работу, эксперт должен выпаять микросхему памяти из основной конструкции (при температуре 320–350 °C), причем так, чтобы «ножки» микросхемы не были повреждены, поскольку возрастает вероятность того, что комплекс восстановит только часть данных или вообще не сможет считать микросхему памяти.",3).,Если потребуется необходимо произвести зачистку ножек.
основной,"Перед решением основной задачи необходимо осуществить подготовительный этап, а именно: дать название дела (рис.",Установки защиты от записи на USB-устройство Затем подключаем USB-устройство и запускаем программу.,"13), выбрать нужное устройство (рис."
направление,Для снятия механической блокировки необходимо передвинуть рычаг в противоположное направление [8].,Обычно он располагается на боковой части носителя и отмечается значком замка.,"Экспертные исследования, проводимые судебным компьютернотехническим экспертом, обеспечивают получение результатов, имеющих наибольшее доказательственное значение при расследовании преступлений [9]."
меньший,"Внутреннее строение USB-накопителя: 1 — разъем USB; 2 — микроконтроллер; 3 — контрольные точки; 4 — чип (микросхема) флэшпамяти; 5 — кварцевый резонатор; 6 — светодиод; 7 — переключатель (защита от записи); 8 — дополнительное место для микросхемы памяти Следует отметить, что в современных USB-накопителях многие элементы имеют значительно меньший размер и впаяны непосредственно в саму конструкцию USB-устройства, которую полностью разобрать без повреждения работоспособности устройства не представляется возможным (рис 2).",1.,"Такие элементы, как светодиод, защита от записи, дополнительное место для микросхемы памяти могут в USB-устройстве отсутствовать."
устранить,"Считывание хэш-значений и сигнатур Подчеркнем, что для продолжения работы с устройством число просканированных файлов и полученные хэш-значения должны совпадать, в противном случае понадобится устранить разночтение прежде чем Рис.",15.,16.
последнее время,"Следует отметить, что в последнее время законодатель стал уделять повышенное внимание электронным доказательствам, в том числе особенностям раПолитехнический молодежный журнал.","Экспертные исследования, проводимые судебным компьютернотехническим экспертом, обеспечивают получение результатов, имеющих наибольшее доказательственное значение при расследовании преступлений [9].",2017.
вероятность,Эта технология дает возможность увеличить вероятность успешного восстановления данных даже в случае физического повреждения накопителей [12].,"При этом микросхема выпаивается из накопителя и считывается на специальном считывающем устройстве — Flash reader, входящем в состав комплекса, что позволяет получить доступ к данным в случаях, когда контроллер накопителя неисправен.","Современные микросхемы памяти представляют собой достаточно сложные устройства, подверженные явлениям износа, что является основной причиной логического повреждения накопителя."
вероятность,"Прежде чем начать работу, эксперт должен выпаять микросхему памяти из основной конструкции (при температуре 320–350 °C), причем так, чтобы «ножки» микросхемы не были повреждены, поскольку возрастает вероятность того, что комплекс восстановит только часть данных или вообще не сможет считать микросхему памяти.",3).,Если потребуется необходимо произвести зачистку ножек.
комплекс,"Баумана, Москва, Российская Федерация Аннотация Ключевые слова Рассмотрены USB-накопители, в частности, внут- USB-накопитель, судебная комренние компоненты USB-устройства, современные пьютерно-техническая эксперкомплексы, используемые в рамках производства тиза, программные средства, судебной компьютерно-технической экспертизы при поврежденные устройства, восработе с USB-накопителями информации, а именно: становление данных, поиск данаппаратно-программный комплекс PC-3000 flash, ных позволяющий восстановить данные с поврежденных USB-устройств, и программный комплекс Encase Forensic, который применяется для поиска, анализа Поступила в редакцию 06.10.2017 и восстановления данных с USB-устройств.",Н.Э.,© МГТУ им.
комплекс,Для этого широко используется комплекс PC-3000 flash.,Нередко в экспертной практике при проведении судебной компьютернотехнической экспертизы появляется необходимость восстановления информации с поврежденных USB–накопителей.,Восстановление данных с поврежденных USB-устройств.
комплекс,Комплекс PC3000 flash.,Восстановление данных с поврежденных USB-устройств.,Данный комплекс использует собственную технологию прямого доступа к микросхемам флэш-памяти.
комплекс,Данный комплекс использует собственную технологию прямого доступа к микросхемам флэш-памяти.,Комплекс PC3000 flash.,"При этом микросхема выпаивается из накопителя и считывается на специальном считывающем устройстве — Flash reader, входящем в состав комплекса, что позволяет получить доступ к данным в случаях, когда контроллер накопителя неисправен."
комплекс,"Прежде чем начать работу, эксперт должен выпаять микросхему памяти из основной конструкции (при температуре 320–350 °C), причем так, чтобы «ножки» микросхемы не были повреждены, поскольку возрастает вероятность того, что комплекс восстановит только часть данных или вообще не сможет считать микросхему памяти.",3).,Если потребуется необходимо произвести зачистку ножек.
